player_id,player_name,matches_played,minutes_played,goals,assists,xg_total,xa_total,shots,passes_completed,tackles,interceptions,progressive_passes,position,position_category,goals_per90,assists_per90,xg_per90,xa_per90,progressive_passes_per90,tackles_per90
3224,Arnaud Souquet,2,180,0,0,0.0071983766,0.0,1,25,0,3,16,Right Midfield,Midfielder,0.0,0.0,0.0035991883,0.0,8.0,0.0
3229,Maxime Le Marchand,1,90,0,0,0.0,0.0,0,4,0,1,4,Left Center Back,Unknown,0.0,0.0,0.0,0.0,4.0,0.0
3230,Alassane Pléa,1,90,0,0,0.023374189,0.0,1,32,0,0,32,Left Wing,Forward,0.0,0.0,0.023374189000000004,0.0,32.0,0.0
3233,Raheem Sterling,3,270,1,0,0.1885282,0.0,1,47,0,1,40,Left Wing,Forward,0.33333333333333337,0.0,0.06284273333333333,0.0,13.333333333333332,0.0
3235,Ludovic Blas,4,360,2,0,1.424109039,0.0,11,132,0,6,119,Center Attacking Midfield,Unknown,0.5,0.0,0.35602725975,0.0,29.75,0.0
3240,Mathew Ryan,4,360,0,0,0.0,0.0,0,112,0,0,157,Goalkeeper,GK,0.0,0.0,0.0,0.0,39.25,0.0
3244,John Stones,12,1080,0,0,0.6589866710000001,0.0,5,953,0,2,891,Right Center Back,Unknown,0.0,0.0,0.05491555591666667,0.0,74.25,0.0
3247,Fábio Henrique Tavares,1,90,0,0,0.0,0.0,0,50,0,2,47,Left Defensive Midfield,Unknown,0.0,0.0,0.0,0.0,47.0,0.0
3248,Hamari Traoré,4,360,1,0,0.217638695,0.0,4,89,0,6,94,Right Back,Defender,0.25,0.0,0.05440967375,0.0,23.5,0.0
3256,Nicolas Pallois,3,270,0,0,0.0,0.0,0,72,0,4,74,Left Center Back,Unknown,0.0,0.0,0.0,0.0,24.666666666666668,0.0
3257,Steve Michel Mounié,1,90,0,0,0.0866007,0.0,1,17,0,0,13,Center Forward,Forward,0.0,0.0,0.0866007,0.0,12.999999999999998,0.0
3264,Vincent Janssen,2,180,0,0,0.15551722,0.0,2,16,0,0,12,Left Center Forward,Unknown,0.0,0.0,0.07775861,0.0,6.0,0.0
3265,José Luis Sanmartín Mato,2,180,0,0,0.14272762099999997,0.0,3,11,0,0,5,Center Forward,Forward,0.0,0.0,0.07136381049999999,0.0,2.5,0.0
3280,Richarlison de Andrade,4,360,3,0,1.617659122,0.0,8,39,0,1,26,Center Forward,Forward,0.75,0.0,0.4044147805,0.0,6.499999999999999,0.0
3281,Aaron Mooy,4,360,0,0,0.039191317,0.0,1,171,0,3,179,Left Defensive Midfield,Unknown,0.0,0.0,0.00979782925,0.0,44.75,0.0
3289,Romelu Lukaku Menama,6,540,0,1,3.435328202,0.0,16,44,0,1,34,Center Forward,Forward,0.0,0.16666666666666669,0.5725547003333333,0.0,5.666666666666666,0.0
3295,Thiago Emiliano da Silva,4,360,0,1,0.20821556,0.0,2,320,0,8,302,Left Center Back,Unknown,0.0,0.25,0.05205389,0.0,75.5,0.0
3300,Maya Yoshida,4,360,0,0,0.7835,0.0,1,201,0,9,207,Center Back,Defender,0.0,0.0,0.195875,0.0,51.74999999999999,0.0
3306,Nathan Aké,11,990,0,1,0.106937035,0.0,2,563,0,20,513,Left Back,Defender,0.0,0.09090909090909091,0.009721548636363637,0.0,46.63636363636364,0.0
3308,Kieran Trippier,9,810,0,0,0.13189197800000002,0.0,2,478,0,3,446,Left Back,Defender,0.0,0.0,0.014654664222222225,0.0,49.55555555555556,0.0
3311,Daley Blind,5,450,1,1,0.521673045,0.0,5,260,0,5,250,Left Wing Back,Defender,0.2,0.2,0.104334609,0.0,50.0,0.0
3318,Marcus Rashford,5,450,3,0,1.382585795,0.0,11,49,0,1,49,Right Wing,Forward,0.6000000000000001,0.0,0.27651715899999996,0.0,9.799999999999999,0.0
3324,Eric Bertrand Bailly,2,180,0,0,0.08903444,0.0,1,34,0,2,31,Center Back,Defender,0.0,0.0,0.04451722,0.0,15.5,0.0
3325,Marko Arnautović,4,360,1,1,1.573697443,0.0,4,39,0,0,36,Center Forward,Forward,0.25,0.25,0.39342436075,0.0,9.0,0.0
3336,Harry Maguire,5,450,0,1,0.48995566300000004,0.0,6,354,0,5,382,Left Center Back,Unknown,0.0,0.2,0.09799113260000002,0.0,76.4,0.0
3347,André Ayew Pelé,3,270,1,0,1.2687446599999999,0.0,2,31,0,0,23,Center Attacking Midfield,Unknown,0.33333333333333337,0.0,0.42291488666666666,0.0,7.666666666666666,0.0
3354,Benoît Guy Robert Costil,1,90,0,0,0.0,0.0,0,20,0,0,30,Goalkeeper,GK,0.0,0.0,0.0,0.0,30.0,0.0
3360,Walter Daniel Benítez,2,180,0,0,0.0,0.0,0,38,0,0,58,Goalkeeper,GK,0.0,0.0,0.0,0.0,29.000000000000004,0.0
3363,Marcus Coco,4,360,0,0,0.06457043900000001,0.0,3,23,0,2,26,Center Forward,Forward,0.0,0.0,0.016142609750000002,0.0,6.499999999999999,0.0
3365,Valentin Rongier,4,360,0,0,0.1818994,0.0,2,221,0,4,197,Right Back,Defender,0.0,0.0,0.045474850000000004,0.0,49.25000000000001,0.0
3375,Adrien Thomasson,2,180,0,0,0.0,0.0,0,60,0,2,56,Right Attacking Midfield,Unknown,0.0,0.0,0.0,0.0,28.0,0.0
3377,Timothy Weah,7,630,1,0,0.5492589924,0.0,8,159,0,3,131,Right Wing,Forward,0.14285714285714285,0.0,0.07846557034285714,0.0,18.714285714285715,0.0
3378,Iván Balliu Campeny,1,90,0,0,0.0,0.0,0,33,0,0,34,Right Back,Defender,0.0,0.0,0.0,0.0,34.0,0.0
3382,Luke Shaw,8,720,0,1,0.084394449,0.0,3,417,0,4,388,Left Back,Defender,0.0,0.125,0.010549306125,0.0,48.5,0.0
3385,Alexis Alejandro Sánchez Sánchez,2,180,0,0,0.417439711,0.0,6,37,0,0,39,Center Forward,Forward,0.0,0.0,0.2087198555,0.0,19.5,0.0
3389,Eliaquim Mangala,1,90,0,0,0.0,0.0,0,6,0,0,7,Center Back,Defender,0.0,0.0,0.0,0.0,7.0,0.0
3404,Youssouf Sabaly,4,360,0,0,0.0178921875,0.0,2,192,0,4,173,Right Back,Defender,0.0,0.0,0.004473046875,0.0,43.25,0.0
3414,Vincent Pajot,1,90,0,0,0.020541262,0.0,1,21,0,2,20,Right Defensive Midfield,Unknown,0.0,0.0,0.020541262,0.0,20.0,0.0
3419,Jessy Moulin,1,90,0,0,0.0,0.0,0,22,0,0,27,Goalkeeper,GK,0.0,0.0,0.0,0.0,27.0,0.0
3420,Rémy Cabella,1,90,0,0,0.45609115,0.0,2,41,0,1,29,Left Wing,Forward,0.0,0.0,0.45609115,0.0,29.000000000000004,0.0
3426,Benjamin Bourigeaud,3,270,0,1,0.26010782,0.0,5,115,0,6,125,Right Defensive Midfield,Unknown,0.0,0.33333333333333337,0.08670260666666667,0.0,41.666666666666664,0.0
3428,Tomáš Koubek,1,90,0,0,0.0,0.0,0,24,0,0,31,Goalkeeper,GK,0.0,0.0,0.0,0.0,31.0,0.0
3429,Adrien Hunou,2,180,0,0,0.153664283,0.0,2,61,0,1,55,Left Center Midfield,Midfielder,0.0,0.0,0.0768321415,0.0,27.500000000000004,0.0
3432,Alexandre Letellier,2,180,0,0,0.0,0.0,0,7,0,0,6,Goalkeeper,GK,0.0,0.0,0.0,0.0,3.0,0.0
3436,Idrissa Gana Gueye,23,2070,0,1,1.3989369345,0.0,21,1168,0,34,957,Left Center Midfield,Midfielder,0.0,0.043478260869565216,0.06082334497826087,0.0,41.608695652173914,0.0
3441,Nikola Vlašić,6,540,2,0,2.1955534329999997,0.0,7,43,0,0,37,Right Wing,Forward,0.33333333333333337,0.0,0.36592557216666666,0.0,6.166666666666667,0.0
3446,Djibril Sidibé,1,90,0,0,0.0,0.0,0,45,0,2,52,Right Back,Defender,0.0,0.0,0.0,0.0,51.99999999999999,0.0
3450,Jordan Ayew,3,270,0,1,0.07146578,0.0,1,34,0,1,33,Left Wing,Forward,0.0,0.33333333333333337,0.023821926666666667,0.0,11.0,0.0
3451,Alexandre Lacazette,2,180,0,0,1.139392778,0.0,5,40,0,0,41,Left Center Forward,Unknown,0.0,0.0,0.569696389,0.0,20.5,0.0
3457,Michy Batshuayi Tunga,2,180,1,0,0.620673121,0.0,6,15,0,0,14,Center Forward,Forward,0.5,0.0,0.3103365605,0.0,7.0,0.0
