player_id,player_name,matches_played,minutes_played,goals,assists,xg_total,xa_total,shots,passes_completed,tackles,interceptions,progressive_passes,position,position_category,goals_per90,assists_per90,xg_per90,xa_per90,progressive_passes_per90,tackles_per90,shots_per90,xg_total_per90,xa_total_per90,passes_completed_per90,interceptions_per90,offensive_score,creative_score,defensive_score,workrate_score,discipline_score,style_cluster,primary_style,affinity_poacher,affinity_inside_forward,affinity_complete_forward,affinity_target_man,affinity_winger,affinity_deep-lying_playmaker,affinity_box-to-box,affinity_ball-winner,affinity_advanced_playmaker,affinity_ball-playing_defender,affinity_no-nonsense_defender,affinity_sweeper,affinity_wing-back
22117,Yan Valery,1,90,0,0,0.009980475,0.0,1,47,0,1,43,Right Center Back,Defender,0.0,0.0,0.009980475,0.0,43.0,0.0,1.0,0.009980475,0.0,47.0,1.0,54.23804425410421,60.715560314061385,60.38543897216274,50,50,2.0,Sweeper,,,,,,,,,,86.30285699498675,79.63500716746152,91.3908511318875,81.11431605834284
22128,Robin Aime Robert Le Normand,6,540,0,0,0.295916775,0.0,3,325,0,1,329,Right Center Back,Defender,0.0,0.0,0.0493194625,0.0,54.833333333333336,0.0,0.5,0.0493194625,0.0,54.166666666666664,0.16666666666666669,54.7644539614561,63.097787294789434,44.29871520342613,50,50,0.0,Ball-Playing Defender,,,,,,,,,,87.71648165540586,74.08516513747134,83.58719573585734,71.27411977035531
22148,Bafodé Diakité,2,180,1,0,0.377182216,0.0,2,102,0,3,73,Right Back,Defender,0.5,0.0,0.188591108,0.0,36.5,0.0,1.0,0.188591108,0.0,51.0,1.5,87.45538900785152,58.44932191291934,67.17077087794434,50,50,2.0,Sweeper,,,,,,,,,,83.70070179448992,78.85771313938697,89.35081785862853,84.49544060564698
22203,Luan Peres Petroni,2,180,0,0,0.0,0.0,0,88,0,5,79,Left Back,Defender,0.0,0.0,0.0,0.0,39.5,0.0,0.0,0.0,0.0,44.0,2.5,27.507137758743756,59.55567451820128,72.65792291220556,50,50,3.0,Wing-Back,,,,,,,,,,77.69539527807538,75.91988705183181,83.79143658296306,91.28818454291812
22242,Heorhii Tsitaishvili,4,360,0,0,0.072111208,0.0,3,49,0,1,49,Left Wing Back,Defender,0.0,0.0,0.018027802,0.0,12.249999999999998,0.0,0.75,0.018027802,0.0,12.249999999999998,0.25,52.837259100642406,42.89793004996431,45.59689507494646,50,50,1.0,No-Nonsense Defender,,,,,,,,,,56.42282977292634,98.35434734049583,84.27627033028796,74.6039191193518
22293,Harry Souttar,4,360,0,0,0.06809473,0.0,1,135,0,3,145,Right Center Back,Defender,0.0,0.0,0.0170236825,0.0,36.25,0.0,0.25,0.0170236825,0.0,33.75,0.75,44.92326909350464,58.35117773019272,55.9154175588865,50,50,2.0,Sweeper,,,,,,,,,,77.20013957931783,86.01939012918757,98.02936384946224,81.7664573210628
22308,Anthony Ralston,3,270,0,0,0.0,0.0,0,68,0,1,71,Right Wing Back,Defender,0.0,0.0,0.0,0.0,23.666666666666664,0.0,0.0,0.0,0.0,22.666666666666664,0.33333333333333337,27.507137758743756,50.69593147751606,47.49732334047109,50,50,1.0,No-Nonsense Defender,,,,,,,,,,65.97946917317962,93.50945076414173,91.59467220750224,77.98421259658393
22314,Maxence Lacroix,2,180,1,0,0.24649659,0.0,1,78,0,7,80,Left Center Back,Defender,0.5,0.0,0.123248295,0.0,40.0,0.0,0.5,0.12324829500000001,0.0,39.0,3.5,78.31013561741612,59.743040685224834,74.21038543897217,50,50,3.0,Wing-Back,,,,,,,,,,67.96498246908862,70.87774668165166,75.57717772898164,90.61448388911909
22352,Lutsharel Geertruida,2,180,0,0,0.0,0.0,0,77,0,0,71,Right Back,Defender,0.0,0.0,0.0,0.0,35.5,0.0,0.0,0.0,0.0,38.5,0.0,27.507137758743756,57.8604568165596,34.435224839400426,50,50,2.0,Sweeper,,,,,,,,,,75.65369922568073,84.62211438308358,91.8704990196601,75.00546402269495
22371,Bailey Wright,1,90,0,0,0.0,0.0,0,1,0,0,2,Right Center Back,Defender,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,27.507137758743756,33.012134189864376,34.435224839400426,50,50,1.0,No-Nonsense Defender,,,,,,,,,,46.55890929117435,92.1374730516923,76.33633549380612,68.58825253060736
23252,Mihailo Ristić,1,90,0,0,0.027485281,0.0,1,40,0,1,36,Left Wing Back,Defender,0.0,0.0,0.0274852809999999,0.0,36.0,0.0,1.0,0.027485280999999997,0.0,40.0,1.0,58.092433975731616,58.14596716630977,60.38543897216274,50,50,2.0,Sweeper,,,,,,,,,,80.17141062065198,83.83461049330015,96.09101254559963,83.32835195430552
23256,Pedro Lomba Neto,3,270,0,0,0.0,0.0,0,73,0,0,59,Left Wing Back,Defender,0.0,0.0,0.0,0.0,19.666666666666668,0.0,0.0,0.0,0.0,24.333333333333332,0.0,27.507137758743756,47.81406138472519,34.435224839400426,50,50,1.0,No-Nonsense Defender,,,,,,,,,,63.72014003193428,93.17783449037768,88.90877303379989,74.86058339259
23319,Souleyman Doumbia,1,90,0,0,0.0,0.0,0,31,0,2,28,Left Back,Defender,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,31.0,2.0,27.507137758743756,53.47965738758029,70.62366167023555,50,50,3.0,Wing-Back,,,,,,,,,,71.19772204101052,84.03911510485777,89.20519126370473,93.13722289049737
23331,Boubakar Kouyate,2,180,0,0,0.0,0.0,0,47,0,4,56,Center Back,Defender,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,23.5,2.0,27.507137758743756,53.47965738758029,70.62366167023555,50,50,3.0,Wing-Back,,,,,,,,,,68.07326269062052,85.3401505588412,88.22975047900334,92.51634807617253
23351,Keven Schlotterbeck,2,180,0,0,0.0,0.0,0,53,0,3,51,Left Center Back,Defender,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0,0.0,26.5,1.5,27.507137758743756,51.900428265524624,67.17077087794434,50,50,2.0,Sweeper,,,,,,,,,,69.49963597410405,88.41431838681747,92.21596632103083,88.47881860364761
23374,Jubal Rocha Mendes Junior,2,180,0,0,0.17630167,0.0,1,48,0,3,44,Center Back,Defender,0.0,0.0,0.088150835,0.0,22.0,0.0,0.5,0.08815083500000001,0.0,24.0,1.5,58.44039971448965,49.3486795146324,67.17077087794434,50,50,2.0,Sweeper,,,,,,,,,,66.85595693256955,89.62805596289121,90.66856349235579,87.80434894160987
23538,Sadegh Moharrami,1,90,0,0,0.0,0.0,0,19,0,3,19,Right Wing Back,Defender,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,19.0,3.0,27.507137758743756,47.26980728051391,73.54122055674517,50,50,3.0,Wing-Back,,,,,,,,,,58.13400545147104,79.59972068931197,78.11537034247884,92.20204907170192
23558,Merih Demiral,4,360,2,0,0.7168735700000001,0.0,3,84,0,5,84,Center Back,Defender,0.5,0.0,0.1792183925,0.0,21.0,0.0,0.75,0.17921839250000002,0.0,21.0,1.25,83.87758743754462,48.643825838686645,64.80192719486081,50,50,1.0,No-Nonsense Defender,,,,,,,,,,65.32840892267993,91.94548796793165,90.67190619905847,85.25102252978115
23615,Gideon Mensah,4,360,0,0,0.0,0.0,0,161,0,4,164,Left Wing Back,Defender,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,40.25,1.0,27.507137758743756,60.046395431834405,60.38543897216274,50,50,2.0,Sweeper,,,,,,,,,,82.5450217321375,82.24646658777189,94.41752184461507,82.64213429237171
23645,Sigurd Rosted,1,90,0,0,0.0,0.0,0,25,0,4,28,Right Center Back,Defender,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,25.0,4.0,27.507137758743756,53.47965738758029,74.5583511777302,50,50,3.0,Wing-Back,,,,,,,,,,56.36619779027685,70.8095877230065,71.10643546155735,88.80641618574892
